IPI,brain TSCs (Not Phosphorylated),brownfat TSCs (Not Phosphorylated),heart TSCs (Not Phosphorylated),kidney TSCs (Not Phosphorylated),liver TSCs (Not Phosphorylated),lung TSCs (Not Phosphorylated),pancreas TSCs (Not Phosphorylated),spleen TSCs (Not Phosphorylated),testis TSCs (Not Phosphorylated),normalized_brain_TSC,normalized_brownfat_TSC,normalized_heart_TSC,normalized_kidney_TSC,normalized_liver_TSC,normalized_lung_TSC,normalized_pancreas_TSC,normalized_spleen_TSC,normalized_testis_TSC,CV
IPI00321577,4,3,5,12,13,1,1,5,2,86956.52173913043,65217.391304347824,108695.65217391304,260869.5652173913,282608.6956521739,21739.130434782608,21739.130434782608,108695.65217391304,43478.260869565216,87.19
IPI00127109,11,7,3,7,6,3,5,24,19,129411.76470588236,82352.94117647059,35294.117647058825,82352.94117647059,70588.23529411765,35294.117647058825,58823.529411764706,282352.9411764706,223529.4117647059,77.83
IPI00132478,5,12,7,7,4,1,1,3,1,121951.21951219512,292682.9268292683,170731.7073170732,170731.7073170732,97560.9756097561,24390.243902439026,24390.243902439026,73170.73170731707,24390.243902439026,80.74
IPI00111946,3,1,2,2,2,6,1,3,1,142857.14285714284,47619.04761904762,95238.09523809524,95238.09523809524,95238.09523809524,285714.2857142857,47619.04761904762,142857.14285714284,47619.04761904762,67.76
IPI00266836,7,6,14,6,3,1,2,4,2,155555.55555555556,133333.33333333334,311111.1111111111,133333.33333333334,66666.66666666667,22222.222222222223,44444.444444444445,88888.88888888889,44444.444444444445,79.37
IPI00112126,1,2,3,12,7,4,1,1,4,28571.42857142857,57142.85714285714,85714.28571428571,342857.14285714284,200000.0,114285.71428571428,28571.42857142857,28571.42857142857,114285.71428571428,93.11
IPI00112138,17,8,11,17,17,19,13,16,12,130769.23076923078,61538.46153846154,84615.38461538462,130769.23076923078,130769.23076923078,146153.84615384616,100000.0,123076.92307692308,92307.69230769231,24.99
IPI00221580,4,3,2,5,3,1,1,1,5,160000.0,120000.0,80000.0,200000.0,120000.0,40000.0,40000.0,40000.0,200000.0,59.09
IPI00317684,3,1,2,5,15,15,57,19,22,21582.733812949642,7194.244604316547,14388.489208633095,35971.22302158273,107913.6690647482,107913.6690647482,410071.9424460432,136690.6474820144,158273.38129496403,112.99
IPI00113143,3,1,6,4,3,1,3,1,3,120000.0,40000.0,240000.0,160000.0,120000.0,40000.0,120000.0,40000.0,120000.0,59.09
IPI00133411,10,5,7,9,16,3,2,1,12,153846.15384615384,76923.07692307692,107692.3076923077,138461.53846153847,246153.84615384616,46153.846153846156,30769.23076923077,15384.615384615385,184615.38461538462,69.15
IPI00131674,7,7,8,10,16,14,92,8,5,41916.167664670655,41916.167664670655,47904.19161676647,59880.239520958086,95808.38323353294,83832.33532934131,550898.2035928144,47904.19161676647,29940.119760479043,149.64
IPI00380989,1,1,4,4,3,6,5,3,6,30303.030303030304,30303.030303030304,121212.12121212122,121212.12121212122,90909.09090909091,181818.18181818182,151515.15151515152,90909.09090909091,181818.18181818182,51.02
IPI00221998,10,37,14,29,9,13,20,20,14,60240.96385542169,222891.56626506025,84337.34939759035,174698.7951807229,54216.86746987952,78313.2530120482,120481.92771084337,120481.92771084337,84337.34939759035,50.36
IPI00110487,11,1,4,4,4,5,1,20,11,180327.868852459,16393.44262295082,65573.77049180328,65573.77049180328,65573.77049180328,81967.2131147541,16393.44262295082,327868.8524590164,180327.868852459,90.88
IPI00173157,11,1,1,3,5,2,3,3,8,297297.29729729734,27027.02702702703,27027.02702702703,81081.08108108108,135135.13513513515,54054.05405405406,81081.08108108108,81081.08108108108,216216.21621621624,81.99
IPI00222284,15,21,30,22,5,21,1,12,20,102040.81632653062,142857.14285714284,204081.63265306124,149659.86394557822,34013.60544217687,142857.14285714284,6802.7210884353735,81632.65306122448,136054.42176870749,55.61
IPI00228693,77,5,4,13,4,39,8,16,32,388888.8888888889,25252.52525252525,20202.020202020205,65656.56565656567,20202.020202020205,196969.69696969696,40404.04040404041,80808.08080808082,161616.16161616164,109.75
IPI00315187,16,9,7,21,18,16,4,18,13,131147.54098360657,73770.49180327868,57377.04918032787,172131.1475409836,147540.98360655736,131147.54098360657,32786.88524590164,147540.98360655736,106557.37704918032,42.23
IPI00153792,30,50,37,31,12,11,10,5,17,147783.2512315271,246305.41871921183,182266.00985221675,152709.35960591133,59113.30049261083,54187.1921182266,49261.08374384237,24630.541871921185,83743.84236453201,67.06
IPI00132542,1,3,4,27,69,5,3,4,3,8403.361344537814,25210.084033613446,33613.44537815126,226890.756302521,579831.9327731093,42016.80672268908,25210.084033613446,33613.44537815126,25210.084033613446,169.15
IPI00115494,9,3,4,13,2,11,3,25,8,115384.61538461539,38461.53846153846,51282.05128205128,166666.66666666666,25641.02564102564,141025.64102564103,38461.53846153846,320512.82051282056,102564.10256410256,83.8
IPI00132352,11,6,2,6,7,5,8,14,7,166666.66666666666,90909.09090909091,30303.030303030304,90909.09090909091,106060.60606060606,75757.57575757576,121212.12121212122,212121.21212121213,106060.60606060606,47.24
IPI00123624,43,17,25,28,26,51,25,77,71,118457.30027548209,46831.95592286502,68870.52341597796,77134.98622589532,71625.34435261709,140495.86776859505,68870.52341597796,212121.21212121213,195592.2865013774,53.88
IPI00132456,31,7,11,28,24,24,22,21,28,158163.26530612246,35714.28571428571,56122.448979591834,142857.14285714284,122448.97959183673,122448.97959183673,112244.89795918367,107142.85714285713,142857.14285714284,36.57
IPI00119094,17,7,13,13,8,3,2,11,4,217948.71794871794,89743.58974358975,166666.66666666666,166666.66666666666,102564.10256410256,38461.53846153846,25641.02564102564,141025.64102564103,51282.05128205128,59.68
IPI00420649,8,2,3,13,11,7,2,4,14,125000.0,31250.0,46875.0,203125.0,171875.0,109375.0,31250.0,62500.0,218750.0,66.13
IPI00109253,7,2,7,11,9,4,4,6,3,132075.4716981132,37735.84905660377,132075.4716981132,207547.16981132075,169811.32075471696,75471.69811320755,75471.69811320755,113207.54716981133,56603.77358490566,49.83
IPI00109044,11,11,15,22,28,35,16,35,13,59139.78494623656,59139.78494623656,80645.16129032258,118279.56989247313,150537.63440860214,188172.04301075268,86021.5053763441,188172.04301075268,69892.47311827957,47.35
IPI00856307,2,1,1,1,1,1,1,1,2,181818.18181818182,90909.09090909091,90909.09090909091,90909.09090909091,90909.09090909091,90909.09090909091,90909.09090909091,90909.09090909091,181818.18181818182,36.08
IPI00126172,12,36,5,71,63,14,11,11,11,51282.05128205128,153846.15384615384,21367.521367521367,303418.8034188034,269230.7692307692,59829.05982905983,47008.54700854701,47008.54700854701,47008.54700854701,95.67
IPI00623030,27,1,1,7,11,6,8,19,35,234782.6086956522,8695.652173913044,8695.652173913044,60869.565217391304,95652.17391304349,52173.91304347826,69565.21739130435,165217.3913043478,304347.82608695654,92.5
IPI00187272,21,19,5,41,27,10,4,17,37,116022.09944751381,104972.37569060773,27624.309392265193,226519.3370165746,149171.27071823206,55248.61878453039,22099.447513812152,93922.65193370165,204419.88950276244,65.09
IPI00221814,6,5,2,6,14,1,4,7,11,107142.85714285713,89285.71428571429,35714.28571428571,107142.85714285713,250000.0,17857.142857142855,71428.57142857142,125000.0,196428.57142857142,66.16
IPI00135151,9,5,1,10,13,6,2,10,3,152542.37288135593,84745.7627118644,16949.15254237288,169491.5254237288,220338.98305084746,101694.91525423729,33898.30508474576,169491.5254237288,50847.457627118645,63.41
IPI00330756,8,5,6,17,14,14,1,13,6,95238.09523809524,59523.80952380952,71428.57142857142,202380.9523809524,166666.66666666666,166666.66666666666,11904.761904761905,154761.90476190476,71428.57142857142,57.2
IPI00221850,5,9,8,11,12,4,3,3,5,83333.33333333333,150000.0,133333.33333333334,183333.3333333333,200000.0,66666.66666666667,50000.0,50000.0,83333.33333333333,51.42
IPI00227451,13,2,8,2,2,3,2,3,9,295454.54545454547,45454.545454545456,181818.18181818182,45454.545454545456,45454.545454545456,68181.81818181818,45454.545454545456,68181.81818181818,204545.45454545456,83.37
IPI00831049,22,8,9,18,17,39,11,28,10,135802.46913580247,49382.71604938271,55555.555555555555,111111.11111111111,104938.27160493827,240740.74074074073,67901.23456790124,172839.5061728395,61728.39506172839,57.33
IPI00403586,19,4,19,40,5,18,7,10,4,150793.6507936508,31746.031746031746,150793.6507936508,317460.31746031746,39682.53968253968,142857.14285714284,55555.555555555555,79365.07936507936,31746.031746031746,83.3
IPI00356608,113,11,25,10,2,33,23,19,13,453815.2610441767,44176.70682730924,100401.6064257028,40160.642570281125,8032.128514056224,132530.12048192773,92369.47791164658,76305.22088353414,52208.83534136546,120.41
IPI00321308,85,36,53,62,141,64,82,84,73,125000.0,52941.17647058824,77941.17647058824,91176.47058823529,207352.9411764706,94117.64705882352,120588.23529411765,123529.41176470589,107352.94117647059,38.82
IPI00648549,6,5,1,21,6,4,19,18,16,62500.0,52083.333333333336,10416.666666666666,218750.0,62500.0,41666.666666666664,197916.66666666666,187500.0,166666.66666666666,72.01
IPI00170152,1,2,8,8,5,6,1,2,2,28571.42857142857,57142.85714285714,228571.42857142855,228571.42857142855,142857.14285714284,171428.57142857142,28571.42857142857,57142.85714285714,57142.85714285714,74.35
IPI00672663,19,4,28,17,17,1,3,13,2,182692.3076923077,38461.53846153846,269230.7692307692,163461.53846153847,163461.53846153847,9615.384615384615,28846.153846153848,125000.0,19230.76923076923,82.11
IPI00330966,1,2,1,9,10,6,1,22,2,18518.51851851852,37037.03703703704,18518.51851851852,166666.66666666666,185185.18518518517,111111.11111111111,18518.51851851852,407407.40740740736,37037.03703703704,116.07
IPI00135646,1,26,16,98,76,44,1,8,38,3246.753246753247,84415.58441558441,51948.05194805195,318181.8181818182,246753.24675324676,142857.14285714284,3246.753246753247,25974.025974025975,123376.62337662338,99.19
IPI00322869,21,18,20,25,34,24,45,40,39,78947.36842105263,67669.17293233082,75187.96992481203,93984.96240601504,127819.54887218044,90225.56390977443,169172.93233082705,150375.93984962406,146616.54135338345,33.97
IPI00396671,13,15,17,22,47,22,44,43,30,51383.39920948617,59288.53754940711,67193.67588932806,86956.52173913043,185770.7509881423,86956.52173913043,173913.04347826086,169960.47430830039,118577.07509881422,47.61
IPI00116825,4,2,1,5,3,6,10,24,2,70175.43859649122,35087.71929824561,17543.859649122805,87719.29824561403,52631.57894736842,105263.15789473684,175438.59649122806,421052.63157894736,35087.71929824561,113.04
IPI00169840,11,3,7,3,8,6,21,16,19,117021.27659574468,31914.893617021273,74468.08510638298,31914.893617021273,85106.3829787234,63829.787234042546,223404.2553191489,170212.7659574468,202127.65957446807,64.6
IPI00170213,8,13,23,11,8,6,2,5,5,98765.43209876542,160493.82716049382,283950.6172839506,135802.46913580247,98765.43209876542,74074.07407407407,24691.358024691355,61728.39506172839,61728.39506172839,68.94
IPI00165731,19,2,5,6,1,7,1,12,10,301587.3015873016,31746.031746031746,79365.07936507936,95238.09523809524,15873.015873015873,111111.11111111111,15873.015873015873,190476.19047619047,158730.15873015873,84.52
IPI00111876,4,9,11,47,32,19,11,2,4,28776.97841726619,64748.20143884892,79136.69064748201,338129.49640287773,230215.82733812951,136690.6474820144,79136.69064748201,14388.489208633095,28776.97841726619,97.29
IPI00119852,2,13,2,1,4,2,1,1,5,64516.12903225806,419354.83870967745,64516.12903225806,32258.06451612903,129032.25806451612,64516.12903225806,32258.06451612903,32258.06451612903,161290.32258064515,111.61
IPI00454179,7,2,1,4,1,7,2,9,2,200000.0,57142.85714285714,28571.42857142857,114285.71428571428,28571.42857142857,200000.0,57142.85714285714,257142.85714285713,57142.85714285714,77.62
IPI00121833,30,29,27,90,102,51,14,35,34,72815.53398058252,70388.3495145631,65533.98058252427,218446.60194174756,247572.81553398058,123786.40776699029,33980.58252427184,84951.45631067961,82524.2718446602,65.95
IPI00226430,39,538,309,279,339,83,40,52,55,22491.34948096886,310265.2825836217,178200.6920415225,160899.65397923876,195501.7301038062,47866.205305651674,23068.05074971165,29988.465974625142,31718.569780853515,93.45
IPI00474783,153,975,48,80,216,146,68,72,195,78341.01382488478,499231.95084485406,24577.57296466974,40962.6216077829,110599.07834101382,74756.78443420379,34818.22836661547,36866.35944700461,99846.39016897081,133.83
IPI00421241,24,705,142,53,137,26,99,16,26,19543.973941368076,574104.2345276873,115635.17915309446,43159.60912052117,111563.51791530944,21172.638436482084,80618.89250814331,13029.315960912052,21172.638436482084,160.4
IPI00274222,17,31,40,54,23,13,13,6,16,79812.20657276995,145539.90610328637,187793.42723004695,253521.12676056338,107981.220657277,61032.86384976526,61032.86384976526,28169.014084507042,75117.37089201878,64.84
IPI00331710,31,48,70,44,39,19,10,31,25,97791.79810725553,151419.55835962144,220820.18927444794,138801.261829653,123028.39116719243,59936.90851735016,31545.741324921135,97791.79810725553,78864.35331230283,50.22
IPI00119114,28,192,165,72,85,41,16,35,25,42488.619119878604,291350.531107739,250379.3626707132,109256.44916540213,128983.30804248861,62215.4779969651,24279.21092564492,53110.77389984825,37936.26707132018,87.47
IPI00134961,8,163,150,166,66,18,8,23,19,12882.447665056361,262479.8711755233,241545.89371980674,267310.7890499195,106280.19323671497,28985.507246376812,12882.447665056361,37037.03703703704,30595.813204508857,101.8
IPI00116591,8,104,78,56,61,18,13,16,20,21390.3743315508,278074.86631016043,208556.1497326203,149732.6203208556,163101.60427807487,48128.342245989305,34759.358288770054,42780.7486631016,53475.935828877,82.61
IPI00119842,15,22,15,37,32,23,33,6,14,76142.13197969543,111675.1269035533,76142.13197969543,187817.25888324875,162436.54822335026,116751.269035533,167512.69035532995,30456.852791878173,71065.98984771574,47.5
IPI00119203,24,447,341,168,120,55,35,20,41,19184.65227817746,357314.1486810552,272581.934452438,134292.5659472422,95923.26139088729,43964.82813749001,27977.61790567546,15987.210231814548,32773.78097521982,111.37
IPI00785394,10,2,3,3,2,27,1,15,2,153846.15384615384,30769.23076923077,46153.846153846156,46153.846153846156,30769.23076923077,415384.61538461543,15384.615384615385,230769.23076923078,30769.23076923077,121.46
IPI00154054,86,121,112,115,156,44,47,60,44,109554.14012738854,154140.12738853504,142675.15923566878,146496.8152866242,198726.11464968155,56050.955414012744,59872.611464968155,76433.12101910828,56050.955414012744,46.84
IPI00228253,50,36,6,39,72,29,15,26,30,165016.501650165,118811.8811881188,19801.980198019803,128712.87128712871,237623.7623762376,95709.57095709571,49504.95049504951,85808.5808580858,99009.90099009902,57.31
IPI00129907,9,13,13,8,13,26,15,18,19,67164.17910447762,97014.92537313433,97014.92537313433,59701.49253731343,97014.92537313433,194029.85074626867,111940.29850746269,134328.35820895524,141791.0447761194,37.01
IPI00272690,19,26,46,136,3,204,25,4,83,34798.5347985348,47619.04761904762,84249.08424908425,249084.24908424908,5494.505494505495,373626.37362637365,45787.54578754579,7326.007326007326,152014.652014652,113.13
IPI00126248,172,578,60,129,201,234,130,87,119,100584.79532163743,338011.69590643275,35087.71929824561,75438.59649122806,117543.85964912281,136842.1052631579,76023.39181286549,50877.19298245614,69590.6432748538,81.71
IPI00622780,49,120,48,163,128,62,56,45,45,68435.75418994413,167597.76536312848,67039.1061452514,227653.6312849162,178770.9497206704,86592.17877094973,78212.2905027933,62849.16201117319,62849.16201117319,56.44
IPI00116074,305,680,531,404,183,125,103,95,89,121272.36580516899,270377.73359840957,211133.20079522862,160636.1829025845,72763.41948310139,49701.78926441352,40954.27435387674,37773.35984095427,35387.67395626243,77.42
IPI00115871,5,20,33,39,16,21,5,15,4,31645.569620253165,126582.27848101266,208860.7594936709,246835.4430379747,101265.82278481012,132911.3924050633,31645.569620253165,94936.7088607595,25316.45569620253,70.46
IPI00132958,39,54,74,60,26,10,4,2,4,142857.14285714284,197802.1978021978,271062.27106227103,219780.21978021978,95238.09523809524,36630.03663003663,14652.014652014652,7326.007326007326,14652.014652014652,90.61
IPI00409360,22,44,40,203,226,26,2,8,21,37162.16216216217,74324.32432432433,67567.56756756757,342905.40540540544,381756.75675675675,43918.91891891892,3378.378378378379,13513.513513513515,35472.97297297297,130.06
IPI00318108,1,3,6,45,9,8,1,9,2,11904.761904761905,35714.28571428571,71428.57142857142,535714.2857142857,107142.85714285713,95238.09523809524,11904.761904761905,107142.85714285713,23809.52380952381,147.59
IPI00134135,25,10,12,20,24,25,16,30,35,126903.55329949237,50761.42131979695,60913.705583756346,101522.8426395939,121827.41116751269,126903.55329949237,81218.27411167513,152284.26395939087,177664.97461928934,37.5
IPI00624175,3,9,16,39,9,6,9,12,10,26548.672566371682,79646.01769911504,141592.9203539823,345132.7433628318,79646.01769911504,53097.345132743365,79646.01769911504,106194.69026548673,88495.57522123893,84.02
IPI00122633,16,52,32,20,89,30,29,33,26,48929.66360856269,159021.40672782875,97859.32721712538,61162.07951070336,272171.25382263,91743.11926605504,88685.01529051988,100917.43119266056,79510.70336391438,61.0
IPI00112549,34,276,248,127,205,49,14,33,14,34000.0,276000.0,248000.0,127000.0,205000.0,49000.0,14000.0,33000.0,14000.0,95.33
IPI00752027,24,42,11,54,40,20,1,18,25,102127.65957446808,178723.40425531915,46808.51063829787,229787.2340425532,170212.7659574468,85106.3829787234,4255.319148936171,76595.74468085106,106382.97872340426,63.38
IPI00110827,205,78,143,164,109,165,71,312,119,150073.2064421669,57101.02489019034,104685.2122986823,120058.56515373354,79795.02196193265,120790.62957540264,51976.57393850659,228404.09956076136,87115.66617862372,48.74
IPI00110850,428,91,64,256,188,333,127,587,199,188297.40431148262,40035.19577650682,28156.621205455347,112626.48482182139,82710.07479102508,146502.41970963485,55873.29520457545,258249.01011878575,87549.49406071272,67.66
IPI00323660,2,2,3,6,1,3,2,21,24,31250.0,31250.0,46875.0,93750.0,15625.0,46875.0,31250.0,328125.0,375000.0,124.68
IPI00380436,3,11,6,11,24,36,35,55,5,16129.032258064515,59139.78494623656,32258.06451612903,59139.78494623656,129032.25806451612,193548.38709677418,188172.04301075268,295698.9247311828,26881.72043010753,87.06
IPI00118899,6,82,25,75,61,53,57,67,22,13392.857142857141,183035.71428571426,55803.571428571435,167410.71428571426,136160.71428571426,118303.57142857142,127232.14285714286,149553.57142857142,49107.142857142855,52.49
IPI00113895,61,10,13,21,9,28,22,34,46,250000.0,40983.60655737705,53278.68852459016,86065.5737704918,36885.24590163934,114754.09836065574,90163.9344262295,139344.26229508195,188524.59016393442,64.38
IPI00153990,15,4,4,7,9,10,8,7,7,211267.6056338028,56338.028169014084,56338.028169014084,98591.54929577465,126760.56338028169,140845.0704225352,112676.05633802817,98591.54929577465,98591.54929577465,42.25
IPI00177038,49,11,19,27,19,44,14,46,13,202479.3388429752,45454.545454545456,78512.39669421488,111570.2479338843,78512.39669421488,181818.18181818182,57851.23966942149,190082.64462809917,53719.00826446281,57.06
IPI00115627,49,21,30,37,21,57,23,81,30,140401.14613180514,60171.91977077364,85959.88538681949,106017.19197707735,60171.91977077364,163323.78223495703,65902.5787965616,232091.69054441262,85959.88538681949,52.04
IPI00132960,9,2,11,84,27,5,19,8,11,51136.36363636364,11363.636363636364,62500.0,477272.7272727273,153409.0909090909,28409.090909090908,107954.54545454546,45454.545454545456,62500.0,129.37
IPI00314510,3,5,18,60,33,1,1,1,1,24390.243902439026,40650.40650406504,146341.46341463414,487804.8780487805,268292.68292682926,8130.081300813009,8130.081300813009,8130.081300813009,8130.081300813009,150.18
IPI00420440,10,5,2,6,1,3,6,2,19,185185.18518518517,92592.59259259258,37037.03703703704,111111.11111111111,18518.51851851852,55555.555555555555,111111.11111111111,37037.03703703704,351851.85185185185,93.54
IPI00136000,87,23,11,20,2,43,5,49,30,322222.22222222225,85185.18518518518,40740.740740740745,74074.07407407407,7407.407407407408,159259.25925925927,18518.51851851852,181481.4814814815,111111.11111111111,88.96
IPI00555004,36,23,44,63,125,33,31,47,27,83916.08391608392,53613.05361305361,102564.10256410256,146853.14685314684,291375.2913752914,76923.07692307692,72261.07226107226,109557.10955710955,62937.06293706294,65.9
IPI00115511,8,5,3,13,30,7,14,7,9,83333.33333333333,52083.333333333336,31250.0,135416.66666666666,312500.0,72916.66666666667,145833.33333333334,72916.66666666667,93750.0,75.44
IPI00126940,29,14,31,39,77,42,48,31,29,85294.11764705883,41176.470588235294,91176.47058823529,114705.88235294117,226470.58823529413,123529.41176470589,141176.4705882353,91176.47058823529,85294.11764705883,46.55
IPI00348414,19,2,4,1,1,4,2,3,10,413043.47826086957,43478.260869565216,86956.52173913043,21739.130434782608,21739.130434782608,86956.52173913043,43478.260869565216,65217.391304347824,217391.30434782608,115.1
IPI00132529,2,2,1,1,3,7,11,14,14,36363.63636363636,36363.63636363636,18181.81818181818,18181.81818181818,54545.454545454544,127272.72727272726,200000.0,254545.45454545453,254545.45454545453,90.54
IPI00322267,6,5,1,7,4,6,3,8,2,142857.14285714284,119047.61904761904,23809.52380952381,166666.66666666666,95238.09523809524,142857.14285714284,71428.57142857142,190476.19047619047,47619.04761904762,50.25
IPI00331155,4,4,7,11,8,6,1,14,10,61538.46153846154,61538.46153846154,107692.3076923077,169230.76923076925,123076.92307692308,92307.69230769231,15384.615384615385,215384.6153846154,153846.15384615384,55.72
IPI00265471,13,17,32,23,11,27,18,46,37,58035.71428571429,75892.85714285713,142857.14285714284,102678.57142857142,49107.142857142855,120535.71428571429,80357.14285714287,205357.14285714284,165178.57142857142,47.0
IPI00135969,21,8,1,22,8,19,19,30,27,135483.87096774194,51612.903225806454,6451.612903225807,141935.48387096776,51612.903225806454,122580.64516129032,122580.64516129032,193548.38709677418,174193.5483870968,55.68
IPI00170357,20,59,67,53,27,9,10,24,22,68728.52233676976,202749.1408934708,230240.5498281787,182130.58419243986,92783.50515463918,30927.835051546394,34364.26116838488,82474.22680412371,75601.37457044673,66.87
IPI00131231,5,2,3,10,8,4,5,6,16,84745.7627118644,33898.30508474576,50847.457627118645,169491.5254237288,135593.22033898305,67796.61016949153,84745.7627118644,101694.91525423729,271186.4406779661,65.66
IPI00113606,9,12,12,16,2,4,1,6,11,123287.6712328767,164383.5616438356,164383.5616438356,219178.08219178082,27397.260273972603,54794.520547945205,13698.630136986301,82191.7808219178,150684.9315068493,63.3
IPI00662244,89,158,232,61,118,35,12,14,13,121584.6994535519,215846.9945355191,316939.89071038255,83333.33333333333,161202.18579234974,47814.20765027322,16393.44262295082,19125.68306010929,17759.562841530053,93.79
IPI00469338,2,60,36,17,12,7,1,6,4,13793.103448275862,413793.1034482759,248275.8620689655,117241.37931034483,82758.62068965517,48275.862068965514,6896.551724137931,41379.31034482759,27586.206896551725,122.16
IPI00223818,6,2,13,66,3,14,1,17,30,39473.68421052631,13157.894736842105,85526.31578947368,434210.5263157895,19736.842105263157,92105.26315789473,6578.9473684210525,111842.1052631579,197368.42105263157,121.94
IPI00230440,27,33,27,83,183,30,198,82,44,38189.53323903819,46676.096181046676,38189.53323903819,117397.45403111739,258840.16973125885,42432.81471004243,280056.57708628004,115983.02687411598,62234.794908062235,85.57
IPI00162781,68,53,4,28,10,21,9,11,22,300884.95575221244,234513.27433628318,17699.11504424779,123893.80530973451,44247.78761061947,92920.35398230089,39823.00884955752,48672.566371681416,97345.13274336283,86.62
IPI00553798,108,895,832,42,120,2177,300,530,499,19625.658731600943,162638.56078502635,151190.25985825912,7632.200617844812,21806.287479556606,395602.3986916227,54515.71869889151,96311.10303470834,90677.81210248955,108.42
IPI00153740,32,12,25,19,31,16,19,38,30,144144.14414414414,54054.05405405406,112612.61261261262,85585.58558558559,139639.63963963962,72072.07207207207,85585.58558558559,171171.17117117118,135135.13513513515,35.11
IPI00128249,9,29,34,36,30,44,11,22,36,35856.57370517928,115537.84860557769,135458.16733067727,143426.29482071713,119521.91235059762,175298.8047808765,43824.701195219124,87649.40239043825,143426.29482071713,42.25
IPI00228092,7,4,8,7,4,8,8,9,16,98591.54929577465,56338.028169014084,112676.05633802817,98591.54929577465,56338.028169014084,112676.05633802817,112676.05633802817,126760.56338028169,225352.11267605633,44.57
IPI00321646,44,19,71,61,22,52,76,103,118,77738.51590106006,33568.90459363958,125441.69611307421,107773.85159010602,38869.25795053003,91872.79151943463,134275.6183745583,181978.79858657243,208480.56537102474,53.22
IPI00122620,9,2,5,3,1,4,1,8,2,257142.85714285713,57142.85714285714,142857.14285714284,85714.28571428571,28571.42857142857,114285.71428571428,28571.42857142857,228571.42857142855,57142.85714285714,75.46
IPI00129577,28,98,89,100,70,29,25,29,33,55888.22355289421,195608.78243512975,177644.71057884232,199600.79840319362,139720.55888223552,57884.23153692615,49900.199600798405,57884.23153692615,65868.2634730539,59.3
