Protein ID,Brain,Heart,Intestine,Kidney,Liver,Lung,Pancreas,PerirenalFat,Spleen,Stomach,Testicle,Thymus,CV
IPI00114560.5,194380.0,110050.0,123510.0,164270.0,53059.0,53152.0,1858200.0,88072.0,54001.0,1835700.0,69055.0,17500.0,177.8
IPI00114593.1,17268000.0,96025000.0,26598000.0,16456000.0,7010200.0,12845000.0,64139000.0,11234000.0,20798000.0,24267000.0,3940400.0,12475000.0,103.22
IPI00114945.1,71728000.0,22998000.0,32618000.0,12391000.0,67270000.0,45241000.0,6267200.0,83377000.0,93301000.0,15876000.0,100830000.0,37398000.0,67.36
IPI00114982.1,108090.0,164530.0,277140.0,475200.0,1601000.0,342890.0,2860300.0,265050.0,327130.0,261720.0,136960.0,378680.0,135.73
IPI00115426.1,553860.0,567180.0,774960.0,313980.0,744930.0,418910.0,306360.0,997680.0,1608000.0,522070.0,1080200.0,1139700.0,51.94
IPI00115490.1,2939400.0,6969700.0,6169800.0,2427400.0,1992400.0,3306500.0,1198200.0,6604100.0,2417000.0,6939600.0,2943200.0,2682900.0,54.97
IPI00116283.1,1000600.0,760690.0,2264200.0,1891800.0,1430300.0,1442100.0,2313200.0,182800.0,1648100.0,418830.0,3345700.0,1738900.0,57.47
IPI00116284.4,3836500.0,5216500.0,16040000.0,7351200.0,18556000.0,21014000.0,3857700.0,7247900.0,25455000.0,1259700.0,16608000.0,14874000.0,67.2
IPI00116372.1,10416000.0,1443200.0,1072000.0,1381600.0,1871800.0,1667500.0,228940.0,339330.0,895310.0,241980.0,894550.0,3186900.0,141.39
IPI00116498.1,69527000.0,19209000.0,51291000.0,35842000.0,21785000.0,57658000.0,52749000.0,30926000.0,97335000.0,59209000.0,147020000.0,16744000.0,67.9
IPI00116907.8,919480.0,1478500.0,235550.0,305140.0,440140.0,961110.0,110530.0,1702800.0,194170.0,1714100.0,287170.0,319030.0,84.61
IPI00117348.4,16906000.0,4149200.0,4974800.0,2348000.0,7525500.0,5556900.0,14931000.0,4180100.0,6077100.0,27469000.0,13959000.0,2577000.0,82.32
IPI00117689.1,6206300.0,22372000.0,4842700.0,18842000.0,1300800.0,23094000.0,142000000.0,91607000.0,14424000.0,1487200.0,6464900.0,10262000.0,151.32
IPI00117932.2,936540.0,221840.0,1743100.0,793650.0,961460.0,3097800.0,384840.0,411910.0,3218000.0,3510100.0,1519800.0,2668900.0,74.24
IPI00118372.1,12570000.0,3633200.0,2269000.0,7134300.0,6817200.0,6894400.0,1724100.0,3828600.0,6196200.0,4398700.0,22196000.0,4680200.0,81.76
IPI00118384.1,65067000.0,48417000.0,37889000.0,25087000.0,42604000.0,34111000.0,98450000.0,64653000.0,34461000.0,88267000.0,85597000.0,20879000.0,48.59
IPI00118447.1,3927700.0,806430.0,712870.0,714610.0,2416400.0,1937500.0,3077500.0,5422900.0,922680.0,8221400.0,593000.0,183150.0,100.51
IPI00118849.1,3328800.0,3514400.0,3342100.0,3331100.0,1436400.0,4629600.0,1830700.0,499180.0,3603100.0,2156900.0,3132900.0,6695700.0,50.95
IPI00118892.6,216040.0,287980.0,2843000.0,971060.0,880380.0,12058000.0,372680.0,2135700.0,22697000.0,2202200.0,440300.0,5682900.0,158.91
IPI00119124.2,1643900.0,1422900.0,869020.0,2216900.0,2500000.0,849050.0,1809800.0,2227100.0,1562700.0,920120.0,109000.0,694660.0,51.77
IPI00119524.1,299760.0,149580.0,281100.0,104510.0,220030.0,434280.0,38803.0,344300.0,489050.0,785180.0,417280.0,369950.0,60.75
IPI00119876.1,1706300.0,1218400.0,2532700.0,2761500.0,2221900.0,3425900.0,1460400.0,621320.0,2003200.0,8294600.0,1868400.0,1385600.0,80.73
IPI00121135.5,3459800.0,1099200.0,1825500.0,1646800.0,768210.0,2006400.0,1073100.0,566240.0,2359300.0,20232000.0,1917600.0,2730000.0,163.12
IPI00121887.5,442280.0,234040.0,3226300.0,1256700.0,725440.0,625010.0,107240.0,1265700.0,2512000.0,52432.0,660480.0,4883900.0,110.98
IPI00123007.1,489400.0,3034500.0,4460300.0,3018600.0,4204100.0,1498200.0,81442000.0,425290.0,1883900.0,1867100.0,1951400.0,1129500.0,260.92
IPI00123410.5,1275400.0,3197200.0,1847200.0,2848700.0,7203200.0,2297200.0,1388500.0,3096300.0,5402100.0,2202200.0,1351400.0,2775000.0,60.66
IPI00123967.1,699620.0,449060.0,968620.0,424990.0,1632900.0,1434100.0,425870.0,525260.0,2066600.0,956990.0,375300.0,2260200.0,66.1
IPI00124287.1,230430.0,1087400.0,2831800.0,540330.0,1404100.0,920910.0,3012500.0,294580.0,952670.0,429330.0,4947400.0,544630.0,100.36
IPI00125493.5,1054900.0,787100.0,75980000.0,13598000.0,1791000.0,9044300.0,4497800.0,19702000.0,6952500.0,5757900.0,1267500.0,1868100.0,177.11
IPI00125778.3,317290.0,2552100.0,11584000.0,10596000.0,1980800.0,6029000.0,3544400.0,5697300.0,6881700.0,3783600.0,1963700.0,1349400.0,76.55
IPI00125899.1,2822700.0,945060.0,2852400.0,1182100.0,3288900.0,3807000.0,578600.0,1441100.0,1845700.0,7237400.0,217010.0,972250.0,85.5
IPI00126223.1,208130.0,1108300.0,1253900.0,431580.0,509160.0,867510.0,483990.0,1136500.0,828730.0,768110.0,251380.0,690430.0,48.51
IPI00127596.1,4170900.0,25178000.0,1617400.0,6312900.0,6874900.0,1733900.0,5676900.0,3129200.0,1214400.0,3469900.0,72352000.0,3999600.0,179.12
IPI00128522.1,4047200.0,38635000.0,9018100.0,4526400.0,1823500.0,44651000.0,1594600.0,91855000.0,11544000.0,43420000.0,736410.0,6404900.0,129.54
IPI00128615.1,4360700.0,2827900.0,4625600.0,5055200.0,2598600.0,6900400.0,1391000.0,4412300.0,6575600.0,5522300.0,4609900.0,13010000.0,56.92
IPI00129159.1,272950.0,28761.0,992750.0,2472600.0,5174600.0,1859500.0,117130.0,656760.0,111630.0,594590.0,190610.0,167730.0,143.04
IPI00129323.1,12494000.0,15216000.0,34774000.0,79516000.0,9607300.0,17143000.0,26251000.0,11517000.0,32316000.0,4096600.0,28033000.0,155030000.0,119.77
IPI00129577.1,366440.0,2421600.0,430050.0,1901900.0,916400.0,137130.0,233670.0,208990.0,158550.0,414780.0,333560.0,155670.0,117.1
IPI00129918.1,6495000.0,5470200.0,8393100.0,3344100.0,4495100.0,5270700.0,4436300.0,3869400.0,5515400.0,5877300.0,14829000.0,10318000.0,49.89
IPI00130129.1,2504300.0,2447300.0,1281500.0,2052300.0,4632300.0,3534100.0,1064000.0,2088600.0,1146500.0,10406000.0,439990.0,991330.0,99.2
IPI00130160.3,2193100.0,585110.0,2706900.0,474470.0,2732300.0,2791100.0,653280.0,1594300.0,3936800.0,1512300.0,4577300.0,3073600.0,58.97
IPI00131176.1,1944800.0,5516900.0,613350.0,2614300.0,76987.0,50709.0,11397000.0,28723.0,40484.0,674030.0,142160.0,124430.0,175.49
IPI00131513.5,274080.0,418720.0,1177800.0,652710.0,241120.0,1178600.0,282590.0,347710.0,929060.0,337110.0,418090.0,1505300.0,67.66
IPI00132340.1,297420.0,448810.0,505860.0,922620.0,2030300.0,2164200.0,250020.0,1644800.0,1854100.0,729930.0,8579900.0,2068300.0,126.32
IPI00133174.3,6184300.0,3086100.0,5464800.0,3957900.0,9839900.0,8740900.0,3376200.0,10121000.0,6102100.0,11949000.0,7035200.0,7415600.0,40.52
IPI00133700.2,198260.0,545860.0,2247700.0,2513700.0,336680.0,287570.0,653260.0,276780.0,303750.0,210330.0,158600.0,191010.0,124.0
IPI00133958.2,3678800.0,2302000.0,1460800.0,4888200.0,2845500.0,11490000.0,60338000.0,14944000.0,11911000.0,1479500.0,3794100.0,18598000.0,143.23
IPI00134599.1,1102200.0,1231500.0,13634000.0,7226800.0,29593000.0,4280000.0,3857700.0,529130.0,4697000.0,3743600.0,1802700.0,5089500.0,126.78
IPI00139259.1,18224000.0,29601000.0,51573000.0,51411000.0,6857400.0,40119000.0,33770000.0,23864000.0,34341000.0,13985000.0,19100000.0,49864000.0,48.81
IPI00153742.3,2109700.0,336780.0,1875200.0,553900.0,1222800.0,536390.0,413750.0,3511500.0,1889100.0,3819100.0,1044500.0,1705200.0,72.91
IPI00169463.1,3739100.0,635090.0,730170.0,606360.0,861170.0,646460.0,3832700.0,949410.0,588200.0,3177800.0,957400.0,776560.0,88.87
IPI00169862.1,405070.0,4415500.0,385150.0,777480.0,4115300.0,108230.0,1781900.0,2025700.0,128760.0,1508500.0,857040.0,183780.0,107.24
IPI00187860.3,15903000.0,8516200.0,26109000.0,7965400.0,35052000.0,18103000.0,5528100.0,15714000.0,64437000.0,932590.0,35749000.0,63461000.0,85.91
IPI00188033.4,1147600.0,705260.0,1772700.0,2348900.0,2047700.0,2751400.0,1738000.0,743720.0,2842400.0,724190.0,1857300.0,3481400.0,49.14
IPI00188804.1,51106000.0,46106000.0,174610000.0,68794000.0,90237000.0,34537000.0,428070000.0,172240000.0,47313000.0,116480000.0,74114000.0,48204000.0,97.81
IPI00188859.1,2572900.0,539390.0,669150.0,420220.0,478840.0,786320.0,220450.0,229780.0,242530.0,828870.0,99917.0,476720.0,103.66
IPI00188880.1,909600.0,1245000.0,919700.0,247530.0,912970.0,887780.0,692380.0,1548000.0,624440.0,9341800.0,466430.0,445540.0,163.72
IPI00188884.2,1387400.0,2055300.0,1180200.0,1606700.0,378500.0,2007200.0,2717200.0,1172500.0,2176800.0,1050100.0,1963300.0,2891000.0,42.3
IPI00189061.3,2799600.0,695710.0,986580.0,1008300.0,1860100.0,2474700.0,376540.0,1338700.0,2804800.0,384580.0,12315000.0,3918500.0,126.38
IPI00189138.1,40614000.0,32171000.0,44320000.0,72183000.0,48431000.0,64333000.0,31353000.0,43512000.0,86088000.0,25710000.0,21855000.0,86990000.0,45.23
IPI00189358.2,20618000.0,6623900.0,4536800.0,8652700.0,6949900.0,8511500.0,4200000.0,4863400.0,8007000.0,4390600.0,4878300.0,6164600.0,60.78
IPI00189523.3,341440.0,682380.0,623550.0,1679100.0,45405.0,1725800.0,189460.0,527100.0,1187400.0,57838.0,304900.0,3546400.0,111.21
IPI00189534.3,2859000.0,4342200.0,5907300.0,12807000.0,1301900.0,5618400.0,18912000.0,2302300.0,1532100.0,3423100.0,8757300.0,10509000.0,81.76
IPI00189948.1,781700.0,103500.0,296340.0,419300.0,188250.0,562140.0,102490.0,238140.0,527000.0,863940.0,669620.0,380870.0,60.05
IPI00190176.5,278700.0,290920.0,444470.0,544980.0,47512.0,1140300.0,1224900.0,172580.0,109590.0,133330.0,53897.0,556450.0,95.79
IPI00190553.1,2271500.0,2359900.0,4028000.0,1654000.0,5942900.0,7142000.0,3713800.0,9786900.0,760190.0,1455900.0,2252300.0,822700.0,79.39
IPI00190687.2,1178500.0,79106.0,1043400.0,489540.0,1718400.0,1272300.0,551130.0,1813500.0,1465100.0,361800.0,2361500.0,1696500.0,58.89
IPI00190701.5,2867300.0,595210.0,122420.0,238350.0,507000.0,255250.0,605360.0,1056800.0,198650.0,318600.0,238360.0,149110.0,128.07
IPI00191460.5,4054900.0,1558500.0,6250500.0,7143500.0,3224000.0,4398300.0,8414000.0,986720.0,10172000.0,467040.0,1535700.0,17174000.0,88.42
IPI00191707.4,10552000.0,80647000.0,13097000.0,5372200.0,51126000.0,22780000.0,7775800.0,52802000.0,4034800.0,23637000.0,2424200.0,47825000.0,94.13
IPI00191728.1,1689700.0,4019800.0,2072300.0,1073800.0,12903000.0,1543200.0,18593000.0,3085000.0,3303800.0,7503500.0,3906300.0,526720.0,108.99
IPI00191737.6,2176200.0,5277700.0,1322800.0,1498300.0,677830.0,1276400.0,20440000.0,5835900.0,788360.0,5085400.0,1305900.0,1190100.0,141.7
IPI00191745.3,312160.0,92629.0,477610.0,116340.0,2789100.0,388040.0,50534.0,108430.0,2089900.0,680640.0,195640.0,487800.0,134.18
IPI00192011.1,78272.0,1088100.0,646300.0,218260.0,1567500.0,329970.0,874640.0,330430.0,485710.0,499590.0,469560.0,246550.0,74.29
IPI00192070.2,563750.0,354290.0,1809300.0,2802200.0,1694000.0,3305000.0,488040.0,383980.0,2946300.0,221570.0,1205200.0,5444100.0,90.32
IPI00192140.1,240880.0,389710.0,3038600.0,762260.0,1668900.0,2999300.0,4953500.0,2277200.0,5672100.0,14670000.0,4920400.0,2025400.0,107.73
IPI00192480.2,1786200.0,3197900.0,2154500.0,3917000.0,3724700.0,3199600.0,1683100.0,6880400.0,2861400.0,2800000.0,8669000.0,5303500.0,55.01
IPI00192552.1,1648000.0,762930.0,2201800.0,925440.0,2196400.0,2339600.0,167770.0,1489900.0,3495000.0,8485300.0,2742300.0,2702100.0,87.52
IPI00193133.1,58239.0,272600.0,602700.0,240360.0,428640.0,843700.0,96743.0,439190.0,876240.0,12792000.0,113590.0,287180.0,252.74
IPI00193150.1,602830.0,1172000.0,774490.0,679310.0,1548600.0,556000.0,2977700.0,162710.0,569390.0,1751200.0,574570.0,581340.0,77.53
IPI00193162.1,3023600.0,334940.0,1018600.0,451540.0,3632000.0,2584400.0,276680.0,933710.0,1958700.0,9248800.0,1756100.0,1026900.0,113.2
IPI00193648.2,6049600.0,45795000.0,48321000.0,40023000.0,43579000.0,38900000.0,10382000.0,28317000.0,57114000.0,31630000.0,28009000.0,48504000.0,43.45
IPI00194102.2,2909700.0,1709700.0,3035000.0,1989600.0,114760000.0,4643700.0,9559200.0,36544000.0,1731600.0,2717300.0,5028300.0,5309300.0,206.05
IPI00194567.4,2550500.0,184630.0,936810.0,889810.0,782380.0,1219400.0,786520.0,555970.0,1415000.0,14927000.0,1684700.0,1925900.0,173.24
IPI00194880.1,1807100.0,8941200.0,4539600.0,3823700.0,3171500.0,2593900.0,23248000.0,5192200.0,2697700.0,26884000.0,8551400.0,1948600.0,108.38
IPI00194974.2,15767000.0,5275300.0,14054000.0,6996600.0,14723000.0,14360000.0,13588000.0,12926000.0,15651000.0,3201200.0,12913000.0,29619000.0,50.25
IPI00194996.2,3688300.0,2154100.0,5292700.0,3115200.0,1955000.0,2218900.0,2111800.0,1017200.0,3439700.0,2402500.0,2410600.0,4589100.0,42.2
IPI00195046.1,11631000.0,728550.0,816800.0,642410.0,1176100.0,1744300.0,2228900.0,1539200.0,3663400.0,3461100.0,2411300.0,3178800.0,107.81
IPI00195372.1,965430.0,1195200.0,1349000.0,1516300.0,2958400.0,614540.0,24802000.0,397660.0,1312400.0,843410.0,273840.0,820990.0,222.63
IPI00195515.3,823960.0,63404.0,873900.0,321080.0,1488000.0,491110.0,479160.0,394450.0,1681100.0,1695600.0,5538800.0,959900.0,118.2
IPI00195732.1,1239700.0,1042900.0,3647400.0,2243900.0,3482800.0,1539800.0,1050200.0,2050400.0,2585200.0,9327300.0,1402100.0,1045400.0,90.8
IPI00195904.3,724200.0,2505700.0,2553800.0,4835900.0,2517900.0,8176200.0,1163000.0,6937000.0,3465000.0,8766200.0,2537800.0,1974200.0,70.56
IPI00195961.1,674580.0,537490.0,3727800.0,1076800.0,782550.0,1551900.0,1741000.0,262070.0,2209300.0,650160.0,831270.0,8411700.0,121.26
IPI00195987.1,3940400.0,1691100.0,3172300.0,4065900.0,3256000.0,3700500.0,2012900.0,1130600.0,3618300.0,5788000.0,5815400.0,5653300.0,42.71
IPI00196056.1,1713700.0,1204700.0,1720400.0,3890300.0,960540.0,1688800.0,2105200.0,899810.0,1259900.0,15066000.0,2187400.0,1944000.0,135.64
IPI00196492.3,62418.0,306740.0,487300.0,143340.0,283950.0,632130.0,95787.0,446790.0,445280.0,513190.0,240010.0,463510.0,53.0
IPI00196589.2,526750.0,207270.0,1353000.0,894320.0,1656800.0,1164200.0,5075400.0,83286.0,412340.0,1283400.0,679410.0,706430.0,112.79
IPI00196622.1,178760.0,123640.0,783490.0,1032700.0,2295500.0,473110.0,204060.0,447360.0,410330.0,275470.0,350990.0,279060.0,105.47
IPI00196677.1,3755000.0,175430.0,402390.0,933530.0,349480.0,2824600.0,80484.0,287520.0,727490.0,188270.0,308470.0,339840.0,135.83
IPI00196684.3,7825400.0,5384800.0,2192400.0,10493000.0,6930500.0,1261800.0,5995600.0,685260.0,2331800.0,11243000.0,2458900.0,1280500.0,76.18
IPI00196865.4,2197100.0,735520.0,870970.0,1015600.0,949100.0,2799100.0,1770100.0,5830700.0,1641500.0,2299100.0,558770.0,324890.0,85.66
IPI00197076.3,1033800.0,853860.0,1558700.0,1605600.0,1095800.0,1412400.0,551850.0,309820.0,1829600.0,1035800.0,1478100.0,2084500.0,42.03
IPI00197488.3,667890.0,1244500.0,1030500.0,4046500.0,2331500.0,7105900.0,6523500.0,1399800.0,2875000.0,6146200.0,1205500.0,1699500.0,77.64
IPI00197490.3,18186000.0,15622000.0,24831000.0,21611000.0,21669000.0,11170000.0,46797000.0,10793000.0,11813000.0,58623000.0,19642000.0,11769000.0,65.99
IPI00197559.1,612970.0,1624800.0,1442600.0,3005600.0,1112800.0,2207500.0,626970.0,2103800.0,5023000.0,2911600.0,286900.0,1510700.0,70.3
IPI00197570.4,1561400.0,364250.0,1587000.0,1131800.0,2055200.0,1598300.0,3955400.0,1165000.0,3295700.0,945160.0,3326700.0,2645900.0,56.12
IPI00197605.2,2054700.0,3194300.0,5987400.0,23706000.0,5483000.0,3089300.0,1742400.0,2194100.0,5895200.0,7393200.0,3537200.0,1694500.0,109.94
IPI00197711.1,4024700.0,26071000.0,31963000.0,4446200.0,23270000.0,2592300.0,14877000.0,11136000.0,3614900.0,3680000.0,1011000.0,3266500.0,98.9
IPI00197727.1,3120600.0,951890.0,1433800.0,624950.0,1168800.0,6255200.0,451420.0,651530.0,743320.0,1037800.0,2705600.0,417730.0,103.71
IPI00198211.2,4967300.0,1392700.0,908990.0,1547300.0,2226500.0,1292200.0,643980.0,613810.0,586060.0,1714800.0,754630.0,393890.0,87.69
IPI00198250.1,31413000.0,7927100.0,5135600.0,6129800.0,1385700.0,13627000.0,3422100.0,27412000.0,6349300.0,15234000.0,55864000.0,6508000.0,105.89
IPI00198339.3,15779000.0,158090000.0,4984200.0,16183000.0,3700500.0,13174000.0,1389000.0,47585000.0,16178000.0,11528000.0,1654900.0,15234000.0,170.96
IPI00198486.3,50410000.0,10588000.0,17785000.0,30773000.0,25036000.0,24684000.0,16668000.0,13104000.0,23967000.0,25795000.0,30811000.0,13868000.0,45.78
IPI00198632.1,134460.0,687060.0,658220.0,478470.0,756390.0,482300.0,104690.0,190850.0,516950.0,1228700.0,69804.0,369230.0,70.88
IPI00198717.8,1792900.0,2484800.0,625260.0,1075900.0,756680.0,224660.0,2708500.0,730940.0,217050.0,4907700.0,59489.0,168830.0,109.95
IPI00199145.2,760040.0,4258200.0,354080.0,843980.0,5123100.0,1589600.0,461180.0,429190.0,44494.0,21449000.0,212740.0,132180.0,203.67
IPI00199394.2,21856000.0,265020.0,448310.0,3103800.0,98459.0,568550.0,725600.0,237860.0,3609700.0,1086900.0,1445200.0,795840.0,213.37
IPI00199636.1,52026000.0,52079000.0,165090000.0,184130000.0,62763000.0,41423000.0,242120000.0,73636000.0,44946000.0,25762000.0,64234000.0,50421000.0,78.11
IPI00199693.2,724570000.0,57955000.0,10052000.0,4625900.0,17863000.0,6425300.0,7948100.0,17926000.0,3491200.0,22734000.0,3285900.0,1616800.0,280.99
IPI00199726.5,2088100.0,2620400.0,2295700.0,1412000.0,1853400.0,2054500.0,2007600.0,4642800.0,2817200.0,1213100.0,3077700.0,3262000.0,37.99
IPI00199887.1,4768900.0,55878000.0,6753900.0,678220.0,1183700.0,3378100.0,158620.0,1473800.0,280420.0,14214000.0,380040.0,193490.0,212.12
IPI00200047.4,1963300.0,1419100.0,4338600.0,2320700.0,1728500.0,3614000.0,1658800.0,1316000.0,3629100.0,3296900.0,3426100.0,5957200.0,48.64
IPI00200120.3,1233000.0,122070.0,150270.0,60435.0,313520.0,167530.0,46526.0,106820.0,405650.0,350820.0,155630.0,225200.0,115.53
IPI00200145.1,81563000.0,169530000.0,278480000.0,77766000.0,109360000.0,83136000.0,245950000.0,203080000.0,77438000.0,137380000.0,116420000.0,62097000.0,52.67
IPI00200147.1,60286000.0,66406000.0,183940000.0,79582000.0,71518000.0,47472000.0,348930000.0,89414000.0,62762000.0,38239000.0,80417000.0,57074000.0,88.01
IPI00200353.1,2917600.0,15436000.0,9091100.0,3705400.0,954490.0,5838800.0,1445300.0,7391500.0,24714000.0,15252000.0,2049400.0,3286800.0,95.17
IPI00200409.3,298860.0,714250.0,2137900.0,897740.0,124290.0,161200.0,474310.0,153280.0,186450.0,89105.0,296420.0,532940.0,113.37
IPI00200410.3,948640.0,155610.0,488930.0,168640.0,256980.0,412400.0,1580800.0,166110.0,728980.0,157920.0,210360.0,579630.0,88.13
IPI00200435.2,855910.0,1181600.0,6935300.0,2949800.0,1299600.0,5633300.0,11964000.0,5361200.0,6056300.0,582640.0,4344300.0,9312400.0,76.08
IPI00200580.1,2060400.0,251320.0,1454400.0,654490.0,1144000.0,988240.0,5367500.0,729470.0,3253400.0,2317500.0,67269.0,3395600.0,86.36
IPI00200661.1,1211500.0,670080.0,672770.0,1230300.0,5947000.0,960010.0,1893200.0,7839100.0,224770.0,1151700.0,878750.0,892160.0,120.72
IPI00200898.3,6005900.0,2500400.0,47763000.0,223250000.0,38765000.0,17421000.0,2727400.0,11043000.0,21240000.0,8015300.0,6651000.0,22396000.0,180.33
IPI00201032.1,1275800.0,1912600.0,2089900.0,3855900.0,1214700.0,3587900.0,1523600.0,1456800.0,5756200.0,471740.0,1423700.0,3536700.0,64.85
IPI00201300.2,60556000.0,497690000.0,119950000.0,78911000.0,32224000.0,389210000.0,1410000000.0,2097700000.0,106150000.0,35279000.0,62393000.0,114130000.0,157.67
IPI00201325.1,317200.0,155070.0,2981400.0,1943200.0,574680.0,165520.0,1750900.0,1812500.0,63986.0,1544500.0,84062.0,115440.0,103.66
IPI00201548.1,1980200.0,17538000.0,11465000.0,11024000.0,57684000.0,25546000.0,3653600.0,21739000.0,10777000.0,19616000.0,26918000.0,14408000.0,78.78
IPI00201792.5,6821500.0,2227700.0,2351700.0,1821600.0,2304200.0,2285700.0,105800000.0,7885700.0,6304900.0,12941000.0,970090.0,1828100.0,230.57
IPI00201896.1,734250.0,202640.0,425180.0,372760.0,563870.0,523900.0,2954900.0,913910.0,557320.0,111840.0,1945500.0,695980.0,97.84
IPI00202201.5,362160.0,472980.0,334850.0,1258800.0,144500.0,215260.0,710360.0,681950.0,139360.0,1602800.0,217830.0,314710.0,85.93
IPI00202288.2,703370.0,155250.0,2712200.0,606950.0,943080.0,840350.0,65609.0,1006600.0,1747200.0,1151000.0,270950.0,576060.0,81.93
IPI00202691.1,733420.0,1258400.0,1566700.0,980810.0,1332100.0,1342000.0,350150.0,655040.0,1204600.0,576490.0,5245600.0,2141200.0,89.16
IPI00202703.4,9302800.0,47723000.0,33821000.0,42128000.0,23874000.0,36965000.0,31422000.0,71896000.0,43554000.0,70002000.0,5975800.0,16676000.0,58.07
IPI00202933.1,9714400.0,6310700.0,6440700.0,14594000.0,9758400.0,12143000.0,12757000.0,31416000.0,21507000.0,1391200.0,12095000.0,28548000.0,64.82
IPI00203239.2,70788000.0,5196500.0,3867500.0,4936100.0,2174500.0,2853600.0,2788000.0,8474800.0,1964300.0,7095200.0,1676400.0,1717500.0,205.44
IPI00203250.1,10950000.0,1588900.0,1977000.0,1188500.0,295380.0,718560.0,314920.0,997110.0,561270.0,3461000.0,325210.0,414300.0,157.73
IPI00203523.1,1128600.0,75152.0,535550.0,284650.0,311550.0,535710.0,4357200.0,132650.0,680710.0,1771900.0,143110.0,900660.0,131.81
IPI00203725.2,14049000.0,481540.0,2773400.0,3664600.0,1257700.0,7588300.0,941720.0,7161900.0,19062000.0,10969000.0,5786700.0,11372000.0,82.1
IPI00204051.2,310870.0,355240.0,896200.0,463090.0,1331300.0,821080.0,90663.0,408540.0,1183500.0,1011200.0,1016600.0,1504900.0,57.53
IPI00204088.1,3039300.0,1726600.0,407560.0,1926900.0,457740.0,4432200.0,357150.0,3577500.0,654910.0,4097700.0,632930.0,352050.0,87.61
IPI00204104.1,28538000.0,20553000.0,7632900.0,15952000.0,3255900.0,14581000.0,5994900.0,9148700.0,7571900.0,8234900.0,7418900.0,4819000.0,66.63
IPI00204190.1,165630.0,306110.0,254310.0,548630.0,1308600.0,1468800.0,215990.0,214400.0,1150200.0,451670.0,563100.0,1364400.0,75.64
IPI00204544.3,4715900.0,270230.0,200330.0,144720.0,113240.0,168840.0,173370.0,469870.0,324880.0,1945900.0,48823.0,208580.0,184.99
IPI00204663.2,151300.0,516040.0,1025400.0,549980.0,522790.0,659190.0,322660.0,456210.0,1025900.0,374230.0,343680.0,1171100.0,53.85
IPI00204665.2,11599000.0,1204100.0,973200.0,1350800.0,44410000.0,3645600.0,5282300.0,175340000.0,1985300.0,4501400.0,1696100.0,25237000.0,215.07
IPI00204739.1,12394000.0,13194000.0,7843100.0,14016000.0,9842000.0,12107000.0,2252900.0,8448400.0,8037200.0,296470.0,4225500.0,6522700.0,52.98
IPI00204776.1,6118000.0,5932700.0,11981000.0,13723000.0,7764100.0,16670000.0,4395800.0,30236000.0,31750000.0,6262600.0,13301000.0,26858000.0,67.63
IPI00204823.3,800510.0,152900.0,762750.0,598320.0,809090.0,3664800.0,335300.0,2211300.0,5282000.0,4074600.0,471460.0,265170.0,108.64
IPI00205054.1,6301200.0,1295700.0,808920.0,675950.0,505160.0,2686100.0,119840.0,4137700.0,611920.0,696150.0,494930.0,503720.0,119.78
IPI00205262.3,3182500.0,81830000.0,35439000.0,2964900.0,961250.0,11706000.0,4608100.0,40679000.0,15368000.0,78673000.0,2831200.0,3680500.0,125.8
